Nome,Tipo,Categoria,Prioridade,URL,Status,Parent,Em Home,Observações
Tarefas — Alaska OS,Database,Tarefas,,https://www.notion.so/cac5a1f608cb4251bf6e8e41b73a645d,Ativo,Alaska,No,
Projetos — Alaska OS,Database,Projetos,,https://www.notion.so/380753b363cc467dbe3afc63e9c10be6,Ativo,Alaska,No,
👤 Personas do time,Database,Pessoas,Alta,https://www.notion.so/29e40b881418818c9d8ec7654b946693,Ativo,Alaska,No,
Implementação WorkSpace interativo Premium,Página,Processos,,https://www.notion.so/29f40b88141881d3a85ff41e2228fb00,Ativo,Alaska,No,
Financeiro — Alaska OS,Database,Financeiro,,https://www.notion.so/1678a91d1b584f57b2c85a498ce392f6,Ativo,Alaska,No,
Ideias,Database,Ideias,,https://www.notion.so/27140b881418810e994ac2e2f67a6a0b,Ativo,Alaska,No,
Processos — Alaska OS,Database,Processos,,https://www.notion.so/ddf2924233b6403aa32564de825b4bde,Ativo,Alaska,No,
ALASKA 2.0 - Mission Control,Página,Ideias,,https://www.notion.so/29e40b88141880dea72ec4b47e500f57,Em andamento,Ideias,No,
Clientes — Alaska OS,Database,Clientes,,https://www.notion.so/Clientes-Alaska-OS-ef680eb4da10444c9c8414d48869cf5b?v=8ff10d2ef1aa4692bbb3fc65c11530b8&source=copy_link#29f40b88141880a192d1e038ac662bfc,Ativo,Alaska,Yes,
Mercado de Recompensas,Database,Gamificação,,https://www.notion.so/29e40b88141881da9f75f8a8800fba7b,Ativo,Alaska,No,
Say my Name - Jornada do Cliente,Página,Processos,Alta,https://www.notion.so/29e40b88141881bebdbcede87adb01aa,Revisar,Processos,No,
Painel de Gerenciamento de Projetos,Página,Projetos,,https://www.notion.so/29640b881418809e9f1fcb534b2f5018,Ativo,Alaska,No,
Projetos em Andamento,Página,Operacional,,https://www.notion.so/29e40b88141881929642d2257e153b53,Revisar,Mission Control,No,
Método 222 - Pós-Venda,Página,Processos,,https://www.notion.so/29e40b88141881128c4fef2ba72b4e28,Em andamento,Processos,No,
Alaska Performance - High Ticket,Página,Comercial,,https://www.notion.so/29e40b88141881aa9d01caa9b953affb,Revisar,Processos,No,
Base de código,Página,Operacional,,https://www.notion.so/29e40b88141881f6963ff0f07610426f,Revisar,Mission Control,No,
Metas do Time,Página,Operacional,,https://www.notion.so/29e40b881418813e8547eed89cc92b3f,Revisar,Mission Control,No,
🛒 Loja Futurista,Página,Frontend,,https://www.notion.so/9ca8f554a3f349aca7bf55e966dad106,Ativo,Alaska,No,
Alaska Quest System,Página,Gamificação,,https://www.notion.so/29e40b88141881a28bbdc291cca56244,Revisar,Gamificação,No,
Team Leaderboard,Página,Gamificação,,https://www.notion.so/29e40b8814188158a133e5e0563a75d2,Revisar,Gamificação,No,
Playbooks & Scripts,Página,Processos,,https://www.notion.so/29e40b8814188171bbebc8dd20a7a211,Revisar,Processos,No,
Sistema de Recompensas,Página,Gamificação,,https://www.notion.so/29e40b88141881da81cdd9dedfd2501b,Revisar,Gamificação,No,
"Missão, Visão, Valores",Página,Operacional,,https://www.notion.so/29e40b88141881cca2a0c0a5ff61d716,Revisar,DNA Alaska,No,
Cultura Alaska,Página,Operacional,Alta,https://www.notion.so/29e40b88141881329a57e7cbbca93bd5,Revisar,DNA Alaska,No,
Hall da Fama,Página,Gamificação,,https://www.notion.so/29e40b8814188136b282cbf9b77e1004,Revisar,Gamificação,No,
Seguraça dos documentos e DatasBase,Página,Operacional,Alta,https://www.notion.so/29e40b88141881fdbcefe674ea328fa0,Revisar,,No,
